DESTINATION,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
North East,0,6870,10820,3580,2360,3560,4400,4580,2250,1010,3350,630
North West,6670,0,22930,11130,15000,8020,14870,12240,7570,10190,6000,2150
Yorkshire and The Humber,10830,22050,0,19280,8470,9530,11230,10680,5710,2910,3690,620
East Midlands,3030,10300,19520,0,19180,20820,16010,19050,6980,3140,2310,540
West Midlands,2260,13440,8220,17110,0,9390,17760,16540,13250,8260,2230,540
East,2850,7120,7600,15500,7630,0,72460,28570,9500,3050,3030,700
London,6110,15790,13890,14840,15870,38410,0,65860,20640,6330,6380,1410
South East,4070,10450,9930,14640,13580,31270,107490,0,35200,7540,5150,970
South West,2350,8250,6410,8870,16670,13900,24850,49420,0,12140,3400,790
Wales,910,10190,2730,2990,8790,3620,5540,9030,12000,0,1320,410
Scotland,3870,6950,4570,3000,2850,4050,7040,6900,3760,1740,0,2420
Northern Ireland,610,1720,640,530,640,780,1420,1150,630,370,1930,0
